CLUB,STATUS,MATCHED_NAME,LEAGUE,SQUAD_MARKET_VALUE_M_EUR,CLUB_URL
Rodina Moscow,OK,Rodina Moscow,Premier Liga,25.0,https://www.transfermarkt.com/rodina-moskau/startseite/verein/59024
Royal Antwerp FC,OK,Royal Antwerp FC,Jupiler Pro League,61.05,https://www.transfermarkt.com/royal-antwerpen-fc/startseite/verein/1096
SC Braga,OK,SC Braga,Liga Portugal,150.3,https://www.transfermarkt.com/sc-braga/startseite/verein/1075
SC Heerenveen,OK,SC Heerenveen,Eredivisie,52.65,https://www.transfermarkt.com/sc-heerenveen/startseite/verein/306
SD Eibar,OK,SD Eibar,LaLiga2,16.4,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533
SL Benfica,OK,SL Benfica,Liga Portugal,374.05,https://www.transfermarkt.com/benfica-lissabon/startseite/verein/294
SV Darmstadt 98,OK,SV Darmstadt 98,2. Bundesliga,28.25,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105
San Diego FC,OK,San Diego FC,Major League Soccer,49.5,https://www.transfermarkt.com/san-diego-fc/startseite/verein/114977
Sanfrecce Hiroshima,OK,Sanfrecce Hiroshima,J1 League,20.1,https://www.transfermarkt.com/sanfrecce-hiroshima/startseite/verein/2697
Shakhtar Donetsk,OK,Shakhtar Donetsk,Premier Liga,189.6,https://www.transfermarkt.com/shakhtar-donetsk/startseite/verein/660
Sharjah FC,OK,Sharjah FC,UAE Pro League,30.48,https://www.transfermarkt.com/sharjah-cultural-sports-club/startseite/verein/13613
